lab n.(缩)实验室
lad n.少年，小伙子
lag v.,n.落后，滞后
lap n.膝盖
law n.法律，定律
lay v.放，安排，打基础
leg n.腿，裤脚
let v.让，使
lid n.盖，脸
lie v.,n.说谎
lip n.嘴唇
log n.原木，航海日志
lot adv.相当
low adj.低的，低廉的
l/c n.(缩)信用证
lace n.花边，鞋带
lack v.,n.缺少
lady n.女士，贵妇人，夫人
lake n.湖，湖泊
lamb n.羔羊，小羊肉
lame adj.跛的，站不住脚的
lamp n.灯
land v.着陆
lane n.小巷，跑道，行车道
lark n.云雀，百灵鸟
last adv.上次
late adj.迟到的，晚的
lawn n.草地，草坪
lazy adj.懒惰的
lead v.引导，领先，率领
leaf n.叶子，页
leak v.漏，泄漏
lean adj.瘦的
leap adj.闰年的
left adv.向左
lend v.出借，贷款
lens n.透镜，镜片，晶体
less adv.较小
lest prep.唯恐，以免
levy n.关税
liar n.说谎者
lick v.舔
life n.生活，生命，一生
lift n.电梯
like prep.像
lily n.百合，睡莲
limb n.肢，树枝
lime n.石灰
limp v.跛行
line n.行，线条，界线
link n.纽带
lion n.狮子
list v.列表
live adj.活的
load v.装载
loaf v.游荡
loan v.出借
lock n.锁，绺
long adv.长久
look n.外表
loom n.织布机
loop v.环绕
lord n.君主，贵族，上帝
lose v.失去，丢失，输
loss n.丧失，失利，损失
lost adj.失去的
loud adj.响亮的，大声的
love n.爱情
luck n.运气，幸运
lump n.块，肿块
lung n.肺
label v.标明
labor n.劳动，劳动力
lapse v.(时间)流失
large adj.大的，巨大的
laser n.激光
later adv.更晚，以后，过后
lathe n.车床
latin n.,adj.拉丁语(的)
laugh v.笑，嘲笑
layer n.层，层次
learn v.学习，获悉
lease n.租约
least adj.最少的
leave n.休假
legal adj.合法的，法律的
lemon n.柠檬
level v.弄平
lever n.杠杆
light adj.明亮的
limit v.限制
linen n.亚麻(织物)
liner n.班轮，班机
litre n.公升
liver n.肝
lobby v.游说
local adj.地方的，当地的
lodge v.寄宿
lofty adj.崇高的，高耸的
logic n.逻辑，论理学
loose adj.松的，自由自在的
lorry n.卡车，载重汽车
lover n.爱人，情人，爱好者
lower v.降低，减弱
loyal adj.忠诚的，忠贞的
lucky adj.幸运的
lunar adj.月亮的，阴历的
lunch n.午饭，便餐
ladder n.梯子，阶梯
landed adj.卸货的
lately adv.近来，最后
latent adj.潜伏的，潜在的
latter adj.后面的，后者的
launch v.发射，发动，开始
lawful adj.合法的，法律的
lawyer n.律师，法学家
layday n.装卸日期
layout n.设计，规划，图案
leader n.领导，领袖
league n.同盟，协会
leeway adj.活动余地
legend n.传说，传奇
length n.长度，期限
lessen v.减少，变小，变弱
lesson n.功课，课程，教训
letter n.字母，信，函件
liable adj.有责任的
likely adj.可信的adv.很可能
liking n.兴趣，嗜好
linear adj.线性的，线状的
linger v.徘徊，逗留，拖延
lining n.夹里，衬里
liquid adj.液体的
liquor n.烈性酒
listen v.听，听从
litter n.废物
little adj.小的，一点，少的
lively adj.活跃的，热闹的
living n.生计
locate v.找出，确定地点
locust n.蝗虫
lonely adj.孤独的，寂寞的
loosen v.解开，放松
lounge n.休息室
lovely adj.好看的，可爱的
lumber n.木材，木料
luxury n.奢侈(品)
laborer n.劳工，劳动者
landing n.楼梯平台，着陆
langkap 冷甲(馬來西亞,霹靂洲内一地方名)
lantern n.灯笼
largely adv.大部分，基本上
lasting adj.持久的，持续的
lateral adj.横向的，侧向的
lattice n.结构，点阵
laundry n.洗衣店，送洗的衣物
leading adj.领先的，一流的
leaflet n.传单，单页宣传品
leakage n.渗漏
learned adj.有学问的
learner n.学习者，学生
leather adj.皮革制的
lecture n.,v.演讲，讲课
leisure n.闲暇，闲空
lending n.贷款，借款
leopard n.豹
liberal adj.思想开放的
liberty n.自由
library n.图书馆，藏书
license n.许可(证)，执照
lighten v.发亮，使...愉快
lighter n.打火机
lightly adv.轻轻地，轻易地
limited adj.有限的，限定的
lioness n.母狮子
literal adj.字面的，不夸张的
lobster n.龙虾
lock-up n.锁，固定资本
lodging n.住处，住房
logical adj.逻辑的
longing n.渴望，思慕
lottery n.抽彩，抓阄，彩票
lovable adj.可爱的
loyalty n.忠诚，忠贞
luggage n.行李
lumpsum n.总数
landlady n.女房东
landlord n.房东，地主
language n.语言
latitude n.纬度，活动余地
laughter n.笑，笑声
lavatory n.盥洗室，厕所
laziness n.懒惰
learning n.学问，学习
lecturer n.演讲者，讲师
leftover n.剩余物
lemonade n.柠檬汽水
lengthen v.延长，变长
leninism n.列宁主义
liberate v.解放，释放，使自由
lifetime n.一生
likeness n.相像，类似
likewise adv.同样，照样
linguist n.语言学者
lipstick n.口红，唇膏
listener n.听者
literacy n.识字
literary adj.文学的
literate n.有文化的
locality n.地点，现场
location n.地点，位置
lonesome adj.寂寞的
loudness n.响亮
luminous adj.发光的，明晰的
luncheon n.午餐，午宴
landscape n.风景(画)，地形
legendary adj.传说的，传奇的
liability n.责任，义务，债务
librarian n.图书管理员
lightning n.闪电
limestone n.石灰岩
limousine n.豪华轿车
literally adv.简直，字面上
livestock n.牲畜
longevity n.长寿
longitude n.经度，经线
long-term adj.长期的
lubricate v.润滑
luxurious adj.豪华的，奢侈的
laboratory n.实验室
leadership n.领导
legitimate adj.合法的，合理的
liberation n.解放
lieutenant n.中尉，副职
lighthouse n.灯塔
likelihood n.可能，相似性
limitation n.限制，局限
literature n.文学，文献
livelihood n.生活
locomotive n.火车头，机车
loneliness n.孤独，寂寞
left-handed adj.左手的，左侧的
legislation n.立法，法规
linguistics n.语言学
living-room n.客厅，起居室
loudspeaker n.扬声器，扩音器
lubrication n.润滑
legitimation n.合法
labor-intensive adj.劳动密集型的
